tensor([[0.8645, 0.1355]], grad_fn=<SoftmaxBackward0>)
tensor([[0.5855, 0.4145]], grad_fn=<SoftmaxBackward0>)
tensor([[0.3221, 0.6779]], grad_fn=<SoftmaxBackward0>)
tensor([[0.6656, 0.3344]], grad_fn=<SoftmaxBackward0>)
tensor([[0.5696, 0.4304]], grad_fn=<SoftmaxBackward0>)
tensor([[0.4217, 0.5783]], grad_fn=<SoftmaxBackward0>)
tensor([[0.3410, 0.6590]], grad_fn=<SoftmaxBackward0>)
tensor([[0.8829, 0.1171]], grad_fn=<SoftmaxBackward0>)
tensor([[0.6787, 0.3213]], grad_fn=<SoftmaxBackward0>)
tensor([[0.7070, 0.2930]], grad_fn=<SoftmaxBackward0>)
tensor([[0.7518, 0.2482]], grad_fn=<SoftmaxBackward0>)
tensor([[0.8072, 0.1928]], grad_fn=<SoftmaxBackward0>)
tensor([[0.3484, 0.6516]], grad_fn=<SoftmaxBackward0>)
tensor([[0.8758, 0.1242]], grad_fn=<SoftmaxBackward0>)
tensor([[0.4118, 0.5882]], grad_fn=<SoftmaxBackward0>)
tensor([[0.8986, 0.1014]], grad_fn=<SoftmaxBackward0>)
tensor([[0.2352, 0.7648]], grad_fn=<SoftmaxBackward0>)
tensor([[0.7853, 0.2147]], grad_fn=<SoftmaxBackward0>)
tensor([[0.4153, 0.5847]], grad_fn=<SoftmaxBackward0>)
tensor([[0.8061, 0.1939]], grad_fn=<SoftmaxBackward0>)
tensor([[0.8140, 0.1860]], grad_fn=<SoftmaxBackward0>)
tensor([[0.4203, 0.5797]], grad_fn=<SoftmaxBackward0>)
tensor([[0.3168, 0.6832]], grad_fn=<SoftmaxBackward0>)
tensor([[0.7089, 0.2911]], grad_fn=<SoftmaxBackward0>)
tensor([[0.8090, 0.1910]], grad_fn=<SoftmaxBackward0>)
tensor([[0.4716, 0.5284]], grad_fn=<SoftmaxBackward0>)
tensor([[0.5951, 0.4049]], grad_fn=<SoftmaxBackward0>)
tensor([[0.8639, 0.1361]], grad_fn=<SoftmaxBackward0>)
tensor([[0.1199, 0.8801]], grad_fn=<SoftmaxBackward0>)
tensor([[0.4089, 0.5911]], grad_fn=<SoftmaxBackward0>)
tensor([[0.5749, 0.4251]], grad_fn=<SoftmaxBackward0>)
tensor([[0.3514, 0.6486]], grad_fn=<SoftmaxBackward0>)
tensor([[0.3767, 0.6233]], grad_fn=<SoftmaxBackward0>)
tensor([[0.8592, 0.1408]], grad_fn=<SoftmaxBackward0>)
tensor([[0.5372, 0.4628]], grad_fn=<SoftmaxBackward0>)
tensor([[0.6132, 0.3868]], grad_fn=<SoftmaxBackward0>)
tensor([[0.7188, 0.2812]], grad_fn=<SoftmaxBackward0>)
tensor([[0.6675, 0.3325]], grad_fn=<SoftmaxBackward0>)
