num,title,date
2166250,썬 가격 무엇,2020-10-01 00:00:42
2166251,붕붕이들,2020-10-01 00:02:38
2166254,디피니티 이거 에어드랍 얼마려나,2020-10-01 00:10:39
2166257,9월 수익,2020-10-01 00:13:18
2166260,플라밍고 지금 하루 1퍼네,2020-10-01 00:21:34
2166265,다들 졸업금액이얼마냐,2020-10-01 00:33:14
2166266,다들 추석 잘보내세요,2020-10-01 00:34:43
2166268,펀비 원래 상한선 없었나,2020-10-01 00:35:30
2166275,게롤트 오브 코리1아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2020-10-01 00:47:31
2166278,애미디진놈들아 홍학좀 그만 보내라고,2020-10-01 00:54:47
2166280,비트막스 문닫았너,2020-10-01 00:57:02
2166283,어디로 가야하오,2020-10-01 01:03:35
2166285,븐브펀비 -0.3퍼,2020-10-01 01:08:05
2166286,근데 비트막스가 내돈을 보내줘야 뭔가를 할수있는데,2020-10-01 01:09:50
2166288,이제 시드 20억이 알갤 평균이다,2020-10-01 01:14:33
2166294,앰백이네 진짜 아예 끝났네,2020-10-01 01:24:20
2166300,수익실현으로 50만원짜리 오피가볼까,2020-10-01 01:37:51
2166302,홍학 이율 상.당.히  좋습니다,2020-10-01 01:41:10
2166304,vvip오피 출근부보는데  빨딱서네,2020-10-01 01:43:13
2166306,"sv, abc 올인해라.",2020-10-01 01:46:02
2166307,스와이프 그냥 빼서 팔아버릴까,2020-10-01 01:46:21
2166309,오늘 오피 서비스 장난아니네,2020-10-01 01:51:03
2166312,쿼티좌 근데 시드8억 될때까지 어케한거임,2020-10-01 01:59:50
2166315,그래서 언제나오냐고,2020-10-01 02:03:17
2166317,썬만 운전해도 나머지 저스틴코인들 설거지 쌉가능하네,2020-10-01 02:05:48
2166319,진짜 스지가 은근 손가는 재료엿구나...,2020-10-01 02:10:07
2166320,그 엘쿼티도 5억을찍는장이다,2020-10-01 02:10:16
2166321,근데 엘쿼티는 원래 황클방 멤버 아님? ,2020-10-01 02:13:19
2166325,10억짜리 상가사면 보통 기대수익이 얼마임?,2020-10-01 02:23:48
2166326,쎄타퓨엘 존버는 승리한다ㅏㅏㅏㅏ,2020-10-01 02:24:49
2166330,빡머가리라 홍학 이율계산이 안되네,2020-10-01 02:35:14
2166332,바낸에서 마진지갑에서 bnb 빌린거 현물지갑으로 출금이 됨?,2020-10-01 02:40:58
2166334,렌딩할때 씹게이라고 놀렷는데,2020-10-01 02:49:24
2166336,썬 원상기대감으로 또 계속 쳐올리는거 아니냐,2020-10-01 02:50:39
2166338,홍어학 괴리율떄문에 못들어가겠는데?,2020-10-01 02:56:10
2166339,"바이낸스 런치풀 스테이킹 할 때,",2020-10-01 02:56:46
2166340,홍학 이율,2020-10-01 02:57:01
2166345,ㅋㅋㅋㅋㅋ2년만에 주노,2020-10-01 03:11:31
2166346,디피니티 에어드랍 확인해랑,2020-10-01 03:13:09
2166350,나도 28개네,2020-10-01 03:24:49
2166352,2년전에 2000개준다더니,2020-10-01 03:25:11
2166354,왜 28개야 씨팔,2020-10-01 03:27:31
2166357,디파이 끝물인가 ㄹㅇ,2020-10-01 03:35:17
2166361,황스틴썬의 분노,2020-10-01 03:50:16
2166371,kyc 안한 계정은 디피니티 못받냐?,2020-10-01 04:39:55
2166374,디피니티 신청했었는데 안줘서 메일보냄..,2020-10-01 04:49:19
2166379,처가와서 술 오지게 먹고 12시간만에 코인 봄,2020-10-01 05:05:58
2166402,티셔츠 다 헤져서 걸레로 쓰려니까 주는구나 ,2020-10-01 06:40:30
2166404,빗막 숏쳐둔거 완화율 4면 몇퍼 상승까지 커버가능하냐,2020-10-01 06:45:49
2166407,리나 운지,2020-10-01 06:57:11
2166412,명치가 허전 하구나..,2020-10-01 07:17:58
2166426,야이 개 씹새끼들아,2020-10-01 08:11:49
2166430,추석맞이 30불의 모험,2020-10-01 08:27:04
2166441,9월 정산,2020-10-01 09:04:06
2166442,뭐야 시발 런치풀에 넣은거 안찍히는데?,2020-10-01 09:04:44
2166444,아..추석이라 기프티콘 너무많아서 쓸데도없다 선착순써라,2020-10-01 09:05:43
2166446,인도닥스 오로라따리하는 사람 부럽네,2020-10-01 09:14:07
2166450,새로고침했는데 페이지 안넘어간줄알았어,2020-10-01 09:22:26
2166452,석우 차례지내고 있나,2020-10-01 09:30:01
2166456,디피니티 돈 좃도안되겟네,2020-10-01 09:36:11
2166464,감기 걸려서 서럽다,2020-10-01 10:03:54
2166465,헉 완전 좋아,2020-10-01 10:04:33
2166467,나만 텔레그램 안됨?,2020-10-01 10:08:20
2166469,런치풀만 넣은사람들 조진거아닐까,2020-10-01 10:10:18
2166470,런패 스냅샷 반영됨 ㅇㅇ..,2020-10-01 10:12:59
2166480,이퀄개병신,2020-10-01 10:40:58
2166481,추석맞이 30불의 모험 끝,2020-10-01 10:42:51
2166488,오늘 추석 용돈 4풍,2020-10-01 11:03:52
2166490,유식이 새기능 만들었노,2020-10-01 11:08:41
2166493,디피니티 에드받을 코리 아이디 kyc안되있던데,2020-10-01 11:17:36
2166496,아이돌출신BJ는 급이다르네,2020-10-01 11:21:54
2166497,알파빌려서찍는애들 본전도힘들듯,2020-10-01 11:24:28
2166503,롤체하니까 대꺠문되네,2020-10-01 11:38:12
2166504,명작만화추천,2020-10-01 11:39:09
2166509,워뇨띠 200억 못됐네 무난할줄 알았는데,2020-10-01 11:54:14
2166511,이번달 워뇨띠보더 더번 고닉 원탑,2020-10-01 11:59:52
2166512,코린이 질문합니다,2020-10-01 11:59:52
2166517,워뇨띠는 3퍼를먹어도6억이네 시발,2020-10-01 12:13:15
2166523,워뇨띠돈을 먜지스타가 굴렸으면 이달 백억벌었음,2020-10-01 12:24:12
2166526,워뇨띠 워뇨띠하더만 꼴랑 200억이였음?,2020-10-01 12:28:18
2166532,워뇨띠 실망스러운건 맞지,2020-10-01 12:42:05
2166534,??? : 뇨띠야 슬슬 취직해야지,2020-10-01 12:44:03
2166536,부산에서접선하실분,2020-10-01 12:45:13
2166540,아존귀 약속지키러 부산간다,2020-10-01 12:55:41
2166541,전갤은 정산 예전 알갤처럼 정산 많이 하는데,2020-10-01 12:55:48
2166543,이번달 정산글 없는이유,2020-10-01 13:04:47
2166545,로갓 고닉인데 수익인증 이번달 안한이유가,2020-10-01 13:07:51
2166546,40껄번 내가 일지안올리는이유,2020-10-01 13:08:08
2166547,워뇨띠 시드면 바낸 테더풀에 박아도 한달에 억이겠네,2020-10-01 13:10:06
2166549,알갤에 정산글이 사라지는이유,2020-10-01 13:14:07
2166551,디파이 뉴비입니다,2020-10-01 13:16:55
2166552,이번달은 진짜 제대로 정산하면 배아파 뒤짐,2020-10-01 13:16:58
2166553,아 ㅈㄴ웃기네,2020-10-01 13:17:41
2166554,로갓고닉인데 정산하기좀그럼,2020-10-01 13:18:49
2166556,정산글 안올라오는 이유,2020-10-01 13:21:49
2166561,이번달 정산,2020-10-01 13:36:06
2166562,외롭다,2020-10-01 13:37:35
2166564,이번달 정산,2020-10-01 13:41:52
2166565,무섭노,2020-10-01 13:42:07
2166567,오늘의 야한 이야기,2020-10-01 13:46:51
2166568,알평칠이다 칠억없는 애들은 조용히 떠나라,2020-10-01 13:47:13
2166569,덱스 차트보려면 어디사이트들가야해,2020-10-01 13:47:19
2166570,좆소액새끼들 짜증나서 그냥 대신해준다,2020-10-01 13:49:43
2166576,알갤 좆소액평균 5억에서 7억됐노 ,2020-10-01 14:00:20
2166579,진짜돈번새끼들은 다 조용하게 꾸준하게 벌고있는데,2020-10-01 14:09:15
2166581,썬 이제 일당 1.5공으로 줄어듬,2020-10-01 14:11:26
2166583,차단 마려운 새기들 뿐이네,2020-10-01 14:15:10
2166584,와나 저번달 내가 많이번줄아랏네,2020-10-01 14:18:07
2166589,장이 한번 조져져야 조용해질텐데,2020-10-01 14:33:08
2166591,온가스 올라도 노관심,2020-10-01 14:39:10
2166594,그래도 갤 평균은 넘어서 기분좋다,2020-10-01 14:40:32
2166598,인증하는사람은 하나도없고 개나소나 10껄20껄이누,2020-10-01 14:55:11
2166600,키작=소심 정설,2020-10-01 14:58:30
2166602,알트 일주일내내 좆같이 스물스물 다쳐올리네,2020-10-01 15:01:32
2166607,"한가위 남은 연휴, 소중한 추억.twit",2020-10-01 15:13:23
2166610,요즘 유흥 현타옴,2020-10-01 15:23:00
2166614,실시간 자장구,2020-10-01 15:33:20
2166615,난 내가 왜 여친도 없고 결혼도 못하는지 깨달음...,2020-10-01 15:34:02
2166620,다린이도 디파이하네,2020-10-01 15:48:12
2166621,익쿠가 ㄹㅇ 씹기만충이니 조심할것,2020-10-01 15:49:33
2166624,달러 빠지네,2020-10-01 15:52:49
2166630,씨발 ㅋㅋㅋㅋㅋㅋㅋㅋ,2020-10-01 16:05:47
2166631,바낸 티켓 남길때 영어로 남기는게 좋냐?,2020-10-01 16:05:50
2166632,익쿠 이채연 닮았자나,2020-10-01 16:05:50
2166634,아씹 오늘 바낸아침상담 역대급이네..,2020-10-01 16:11:04
2166637,주작이었노ㅋㅋ,2020-10-01 16:23:36
2166641,힘드네,2020-10-01 16:35:28
2166646,형들 고팍스 등로한계좌말고 다른계좌로 입금가능?,2020-10-01 16:51:25
2166647,내일 빗썸 이벤트 알려줘,2020-10-01 16:54:59
2166648,쿠팡이 ㄹㅇ 개쩌는게,2020-10-01 16:59:27
2166651,추석인데 방에서 딸치는 내가 레전드다,2020-10-01 17:00:47
2166655,쩝 나도 1껄 2껄 해보고싶네,2020-10-01 17:12:53
2166656,부싼 도착ㅇㅇ..,2020-10-01 17:13:43
2166658, 집앞 피방가기 vs 먼 피방가기,2020-10-01 17:16:09
2166659,김카키도 나갔다오는 추석인데,2020-10-01 17:18:28
2166660,2017년부터했는데 시드 1억돌파못햇으면 코인왜하냐?,2020-10-01 17:19:18
2166662,머구왔다,2020-10-01 17:21:16
2166663,유니 ,2020-10-01 17:22:53
2166666,1억 무시하는 발언 좀 그만했으면 좋겠다,2020-10-01 17:27:52
2166667,이번달 워뇨띠 왜이렇게 못벎?,2020-10-01 17:28:56
2166671,모네로 왜올랐지,2020-10-01 17:38:14
2166674,30불의 모험 3,2020-10-01 17:42:06
2166676,의외로 하이리스크인 매매법,2020-10-01 17:49:54
2166680,업비트 스테이킹은 뭐지? 이제봄ㅋㅋ,2020-10-01 17:55:38
2166681,지금 사형식 가능한 완장 누구있지?,2020-10-01 17:58:48
2166684,왓챠 볼거추천좀,2020-10-01 18:03:03
2166685,코스모코인이 진짜 기술력이 개미친 수준임,2020-10-01 18:03:15
2166688,근데 알갤 평균시드가 높아진게,2020-10-01 18:08:15
2166689,방카는인증하기전까지손실아님,2020-10-01 18:09:14
2166690,알갤 평균시드가 오른이유,2020-10-01 18:09:58
2166692,금일수익 2풍이네. 차라리 나가서 여자나 만날껄,2020-10-01 18:14:10
2166693,8월까지만해도 알평오 였는데,2020-10-01 18:14:15
2166695,무엇이든 물어보세요,2020-10-01 18:15:10
2166697,젤다팬이라 원신 하고싶은데,2020-10-01 18:21:21
2166698,방카 저병신이 10억쯤됐으니 말다한거지,2020-10-01 18:22:11
2166700,고닉 이석우가 홍어버그였구나,2020-10-01 18:26:16
2166702,황금 잡으러옴,2020-10-01 18:31:33
2166703,오늘 머 있었음?,2020-10-01 18:34:41
2166706,떠나가요,2020-10-01 18:37:38
2166707,전갤 그지새끼들이 왜자꾸기어와서 씹소리하지,2020-10-01 18:39:44
2166709,디파이 뒤늦게 검증된거지 하이리스크 맞잖아,2020-10-01 18:42:25
2166711,전갤은 근데 진짜 거지새끼들 많드라,2020-10-01 18:49:15
2166715,플라이트 피셜 알갤 전갤,2020-10-01 19:00:40
2166716,바낸 2년전에 여권으로 인증했었는데 민증으로 다계정 돼?,2020-10-01 19:01:45
2166717,사실 플라이트가 마진할 노력으로 알트질했으면 몇배는 더 벌었지,2020-10-01 19:02:16
2166719,플라이트 얘도 관종임,2020-10-01 19:05:30
2166725,이짤 여자 누군지 아는 알붕이 있냐,2020-10-01 19:22:51
2166727,바낸에서 비너스 캐려면 어떻게 해야 하냐?,2020-10-01 19:27:16
2166728,전갤 거지들은 뽐거지보다 거지임,2020-10-01 19:27:19
2166730,아발란체 2껄 휴 다행이다 보고 소름돋았었음,2020-10-01 19:30:24
2166733,뭐야 이퀄 왜 이상하게 바꼈냐,2020-10-01 19:43:28
2166737,존나 몰라서 그러는데 전갤이 뭐임?,2020-10-01 19:57:44
2166739,테더 살려다오,2020-10-01 20:04:25
2166741,가짜사나이 나왔다,2020-10-01 20:07:41
2166743,아 원상안하니깐 ㅈ노잼,2020-10-01 20:10:25
2166744,알갤애들이 전갤그르지들 무시하는이유가,2020-10-01 20:10:58
2166745,전갤 너무 욕하지마라,2020-10-01 20:14:49
2166748,알갤원주민들은 전갤 관심없는데,2020-10-01 20:21:17
2166751,결국 폰지사기인것을... 출신따지고있노,2020-10-01 20:30:48
2166753,체인링크 12만원 가는 이유,2020-10-01 20:36:26
2166757,ㄱ짜사나이 존나 별거아닌거같구만 분위기 잡누,2020-10-01 20:47:28
2166759,이근이진짜멱살캐리였구나,2020-10-01 20:50:55
2166766,글리젠이없구나,2020-10-01 21:18:28
